Pyrometer1,Pyrometer2,Voltage,Current,Acoustic Noise
20.58509,20.36381,30.3687,279.7188,-0.00538701
20.69344,20.28446,30.10011,280.1227,-0.0088817
20.77433,20.20358,30.31681,278.9333,-0.01426871
20.69344,20.15016,29.56293,280.1227,-0.01535222
20.64003,20.20358,29.45611,280.1227,-0.02368453
20.55915,20.20358,29.93835,280.5042,-0.02638567
20.37144,20.22952,29.18752,280.5042,-0.02934623
20.34398,20.33787,29.40117,281.6937,-0.03177268
20.34398,20.3104,28.91893,280.1227,-0.03580149
20.47827,20.33787,28.864,281.2897,-0.03714443
20.53168,20.4447,29.51105,280.1227,-0.03633561
20.66598,20.39128,28.75717,280.1227,-0.03903675
20.64003,20.20358,28.81211,281.2897,-0.04091381
20.82774,20.49811,28.27188,280.9082,-0.03876206
20.53168,20.28446,28.16506,281.2897,-0.03795324
20.61256,20.3104,27.73471,281.6937,-0.03714443
20.53168,20.33787,20.6385,282.0976,-0.03068917
20.39739,20.36381,21.01392,283.2646,-0.03203211
20.37144,20.3104,20.36992,283.2646,-0.02504273
20.50574,20.33787,20.04639,284.858,-0.02638567
20.53168,20.36381,19.56416,285.2395,-0.02208216
20.55915,20.25699,19.1338,285.6435,-0.01993041
20.71939,20.22952,18.97204,285.6435,-0.02180747
20.77433,20.17611,18.43487,287.6184,-0.01616103
20.61256,20.17611,18.43487,287.2144,-0.02127335
20.58509,20.20358,18.54169,287.2144,-0.0234251
20.42486,20.25699,18.32804,289.5933,-0.02180747
20.31803,20.3104,18.32804,289.5933,-0.02449335
20.37144,20.3104,18.43487,289.1894,-0.03364974
20.39739,20.25699,18.27311,290.7603,-0.03015505
20.50574,20.20358,18.32804,289.9748,-0.02691979
20.55915,20.15016,18.27311,291.1642,-0.02934623
20.66598,20.1227,18.43487,291.1642,-0.01938103
20.71939,20.1227,18.43487,291.1642,-0.01561165
20.61256,20.1227,18.59663,291.5682,-0.01507752
20.55915,20.22952,18.81028,293.1392,-0.00753876
20.47827,20.28446,19.07887,291.9497,-0.00161763
20.37144,20.3104,19.29557,293.5207,0.00294531
20.34398,20.28446,19.67098,293.9247,0.0075235
20.39739,20.22952,19.45733,293.9247,0.00914113
20.53168,20.28446,19.93957,294.7101,0.01291051
20.55915,20.22952,20.20815,294.7101,0.01156757
20.66598,20.20358,20.31498,295.1141,0.01022464
20.69344,19.9884,21.01392,294.7101,0.00860701
20.80027,20.09523,20.90709,293.9247,0.00511232
20.71939,20.09523,21.17568,295.4956,0.01022464
20.55915,19.88158,21.82273,295.8995,0.00994995
20.4508,20.39128,23.38237,295.4956,0.01506226
20.37144,20.36381,26.7153,295.1141,0.01910634
20.47827,20.33787,30.85399,295.1141,0.02690453
20.4508,20.3104,31.33622,294.3286,0.03686973
20.61256,20.17611,32.25186,293.1392,0.04709437
20.74685,20.17611,33.16445,292.3537,0.0608137
20.77433,20.22952,33.70162,292.3537,0.07239653
20.69344,20.22952,33.91832,291.9497,0.0828806
20.64003,20.3104,33.5948,290.7603,0.09069405
20.55915,20.36381,34.08009,290.7603,0.09446344
20.47827,20.39128,34.18691,291.1642,0.09902637
20.34398,20.39128,33.54291,289.5933,0.1046881
20.39739,20.33787,34.29374,289.5933,0.1081828
20.4508,20.17611,34.13197,289.5933,0.1001099
20.53168,20.17611,34.51044,288.7854,0.1014528
20.66598,20.17611,33.91832,288.4039,0.08988523
20.69344,20.20358,33.48798,288.7854,0.08315529
20.66598,20.25699,34.99268,287.6184,0.07723416
20.64003,20.28446,35.26126,287.9999,0.06458308
20.50574,20.28446,35.52985,287.9999,0.05812782
20.37144,20.39128,35.90831,287.2144,0.05086375
20.31803,20.39128,35.47796,286.8329,0.04520205
20.37144,20.3104,35.26126,285.2395,0.03793798
20.47827,20.28446,35.04761,285.6435,0.03471798
20.53168,20.39128,35.3162,286.025,0.0298651
20.66598,20.25699,35.52985,286.025,0.02502747
20.77433,20.33787,35.90831,285.2395,0.02447809
20.74685,20.25699,36.12196,284.4541,0.02151752
20.61256,20.20358,36.22879,285.6435,0.02125809
20.61256,20.57899,35.63973,283.2646,0.02017458
20.4508,20.55305,36.44549,284.0501,0.01559639
20.18374,20.55305,36.22879,283.6686,0.01587108
20.29056,20.41875,36.22879,283.2646,0.0075235
20.39739,20.41875,36.12196,282.0976,-0.00027469
20.4508,20.39128,36.28373,282.0976,-0.00943108
20.53168,20.41875,36.8209,282.4792,-0.02099866
20.58509,20.4447,37.19631,282.0976,-0.03364974
20.58509,20.47216,36.76596,280.5042,-0.0411885
20.50574,20.57899,37.08949,281.2897,-0.05248138
20.4508,20.57899,37.30619,281.6937,-0.06432365
20.26309,20.57899,37.41301,280.5042,-0.07241179
20.20968,20.55305,37.6816,280.5042,-0.07967586
20.20968,20.49811,37.78843,280.9082,-0.0810188
20.1288,20.49811,38.3256,279.3148,-0.08020999
20.31803,20.39128,38.11195,278.9333,-0.08397937
20.42486,20.41875,37.95019,279.7188,-0.07912648
20.53168,20.49811,39.13136,278.9333,-0.07267122
20.42486,20.52558,38.91771,277.7439,-0.06917653
20.39739,20.63393,37.62666,278.5293,-0.06272128
20.31803,20.55305,36.1769,277.7439,-0.05948602
20.23715,20.60646,36.1769,277.7439,-0.0543737
20.07539,20.65987,36.8209,278.5293,-0.05733427
20.02197,20.49811,36.12196,277.3623,-0.05356489
20.07539,20.28446,36.8209,277.3623,-0.05490782
20.15627,20.57899,36.98267,276.9584,-0.0589519
20.23715,20.65987,37.95019,276.1729,-0.0586772
20.29056,20.82163,36.12196,276.9584,-0.06353009
20.29056,20.92846,36.39055,275.3874,-0.06432365
20.15627,20.57899,36.76596,276.5544,-0.06432365
20.20968,20.63393,37.51984,276.1729,-0.0621719
20.07539,20.71328,36.87584,275.769,-0.0589519
19.91515,20.57899,38.05701,274.5795,-0.0543737
19.86174,20.55305,37.95019,275.769,-0.04172262
19.99451,20.49811,37.4649,274.9835,-0.03096386
20.02197,20.47216,36.92772,274.5795,-0.02127335
20.07539,20.52558,38.00513,274.5795,-0.00672995
20.18374,20.60646,37.25125,274.9835,0.00402881
20.26309,20.65987,37.95019,272.627,0.01399402
20.15627,20.68734,37.4649,273.4125,0.02609571
20.07539,20.60646,37.84336,273.794,0.0341686
19.96856,20.63393,38.16384,273.4125,0.04089855
19.83427,20.55305,36.98267,273.794,0.04924612
19.78086,20.47216,38.11195,273.4125,0.04978025
19.86174,20.47216,37.51984,272.627,0.05516726
19.96856,20.49811,37.95019,272.2231,0.04790319
20.02197,20.47216,37.57478,273.0086,0.03740386
20.1288,20.57899,37.0376,271.4376,0.03201685
20.23715,20.63393,38.05701,272.2231,0.01991515
20.10286,20.63393,37.6816,271.8191,0.01048407
20.02197,20.55305,38.5423,271.0337,-0.00216701
19.94109,20.52558,38.81089,271.0337,-0.01077402
19.94109,20.52558,37.78843,270.6521,-0.02018984
19.78086,20.41875,37.6816,271.0337,-0.0266451
19.86174,20.3104,35.15444,271.0337,-0.02934623
19.94109,20.41875,38.43243,269.8667,-0.03284092
19.99451,20.20358,36.44549,270.6521,-0.03284092
20.23715,20.55305,38.64913,269.4627,-0.02934623
20.20968,20.74075,37.14442,269.4627,-0.02099866
20.04944,20.68734,37.6816,269.8667,-0.02018984
20.02197,20.60646,37.84336,269.0587,-0.01049933
19.94109,20.60646,37.95019,268.6772,-0.00834758
19.91515,20.55305,38.00513,269.0587,-0.00915639
19.75339,20.52558,38.59419,269.0587,-0.00108351
19.78086,20.52558,38.91771,268.2733,-0.01292577
19.88768,20.49811,38.21878,269.0587,-0.01184227
19.96856,20.57899,37.73654,268.2733,-0.01561165
