Pyrometer1,Pyrometer2,Voltage,Current,Acoustic Noise
20.53168,20.65987,21.44427,290.3788,0.0441338
20.4508,20.57899,21.82273,289.5933,0.04439323
20.37144,20.57899,22.14321,290.3788,0.03632035
20.39739,20.57899,23.05885,290.3788,0.03686973
20.42486,20.55305,23.48919,289.9748,0.0298651
20.50574,20.49811,24.77719,290.3788,0.02637041
20.66598,20.76822,27.09071,289.9748,0.02771334
20.80027,20.74075,32.0901,289.9748,0.02260103
20.71939,20.65987,41.06947,288.4039,0.02394396
20.64003,20.65987,37.73654,286.429,0.01991515
20.55915,20.63393,39.50983,285.6435,0.02260103
20.50574,20.57899,40.691,284.4541,0.01855695
20.29056,20.52558,34.51044,284.0501,0.02125809
20.42486,20.49811,33.91832,283.6686,0.02017458
20.50574,20.55305,35.15444,284.0501,0.01695458
20.58509,20.60646,35.74655,282.8831,0.01587108
20.58509,20.60646,36.60725,283.6686,0.00833232
20.77433,20.65987,37.78843,282.4792,0.00241118
20.71939,20.63393,34.66915,282.0976,-0.01077402
20.66598,20.71328,35.69161,281.6937,-0.01965572
20.61256,20.57899,37.41301,282.4792,-0.02960566
20.4508,20.47216,38.43243,279.7188,-0.04225674
20.34398,20.3104,39.13136,280.5042,-0.04952081
20.37144,20.71328,39.45489,279.3148,-0.05705958
20.47827,20.49811,40.20877,278.5293,-0.05814308
20.55915,20.52558,39.99207,277.7439,-0.06353009
20.74685,20.71328,40.10194,277.3623,-0.06163777
20.53168,20.63393,41.22818,276.9584,-0.0589519
20.66598,20.57899,40.37053,276.5544,-0.05464839
20.64003,20.60646,41.92711,275.3874,-0.04602613
20.66598,20.55305,40.37053,275.769,-0.03903675
20.50574,20.47216,38.21878,274.5795,-0.03284092
20.37144,20.4447,36.71408,274.5795,-0.02449335
20.34398,20.47216,37.14442,274.198,-0.02180747
20.42486,20.55305,36.1769,274.198,-0.01426871
20.53168,20.57899,35.69161,274.198,-0.01292577
20.58509,20.65987,36.60725,273.794,-0.01426871
20.69344,20.63393,37.89525,272.627,-0.01184227
20.71939,20.60646,37.89525,273.4125,-0.01265108
20.55915,20.57899,37.95019,273.4125,-0.00672995
20.50574,20.57899,38.86278,272.627,-0.00862227
20.4508,20.49811,39.07948,271.8191,-0.00538701
20.18374,20.49811,39.88524,271.4376,-0.00323526
20.23715,20.52558,39.67159,271.0337,0.00215175
20.29056,20.55305,38.38054,270.6521,0.0075235
20.34398,20.65987,38.75595,270.6521,0.01587108
20.42486,20.71328,41.01453,269.0587,0.01156757
20.55915,20.68734,39.56171,268.6772,0.01936577
20.58509,20.65987,38.11195,268.2733,0.02179221
20.50574,20.63393,39.56171,269.4627,0.02179221
20.39739,20.49811,38.86278,268.2733,0.02260103
20.34398,20.52558,39.45489,268.2733,0.02394396
20.20968,20.4447,39.67159,267.8918,0.03335978
20.15627,20.68734,40.047,268.2733,0.03525211
20.18374,20.47216,38.38054,267.4878,0.04575143
20.31803,20.63393,38.38054,266.7023,0.0575937
20.23715,20.36381,37.84336,268.2733,0.0664754
20.53168,20.60646,38.86278,267.4878,0.07776828
20.58509,20.63393,38.16384,265.5129,0.0917623
20.42486,20.60646,38.5423,266.7023,0.1009187
20.37144,20.4447,38.00513,266.2984,0.1001099
20.20968,20.49811,37.19631,265.9168,0.1108686
20.1288,20.49811,37.6816,265.9168,0.1003846
20.10286,20.4447,39.29313,264.7274,0.09768343
20.15627,20.52558,38.16384,265.9168,0.08584116
20.20968,20.57899,39.29313,265.1314,0.07293066
20.29056,20.63393,38.00513,264.7274,0.06215663
20.34398,20.63393,37.78843,264.3235,0.04224148
20.4508,20.57899,37.25125,264.3235,0.03444329
20.39739,20.4447,39.88524,264.7274,0.02421865
20.34398,20.41875,40.85276,263.538,0.01156757
20.23715,20.47216,42.94958,263.538,0.0131852
20.1288,20.49811,42.35746,261.5631,0.00886644
20.04944,20.49811,39.403,262.7525,0.01103345
20.10286,20.57899,42.1957,261.967,0.01721402
20.15627,20.60646,41.38994,261.967,0.01964046
20.23715,20.60646,42.62605,261.1815,0.02824747
20.37144,20.60646,42.78782,259.5882,0.02798804
20.42486,20.63393,41.12135,259.9921,0.03632035
20.39739,20.52558,42.4124,260.7776,0.03497741
20.29056,20.4447,42.73593,259.9921,0.03201685
20.18374,20.4447,41.06947,259.2067,0.02879685
20.04944,20.47216,41.87523,258.0172,0.01855695
20.04944,20.63393,41.38994,259.5882,0.01855695
20.1288,20.49811,41.49982,257.6133,0.00511232
20.04944,20.17611,41.71346,257.2318,-0.00216701
20.20968,20.71328,41.38994,258.0172,-0.00915639
20.20968,20.63393,41.49982,257.2318,-0.01857221
20.39739,20.60646,39.99207,257.6133,-0.0234251
20.29056,20.60646,39.94018,257.2318,-0.02261629
20.15627,20.52558,39.67159,256.4463,-0.03096386
20.15627,20.52558,39.61665,257.2318,-0.02719448
19.94109,20.49811,39.72348,256.4463,-0.02907154
19.83427,20.60646,40.31559,256.8278,-0.02881211
19.96856,20.68734,39.61665,256.4463,-0.02449335
19.96856,20.71328,40.31559,256.0423,-0.02395922
20.07539,20.65987,39.72348,255.2568,-0.0234251
20.18374,20.63393,40.10194,254.4714,-0.02208216
20.29056,20.52558,39.88524,255.6608,-0.02638567
20.20968,20.52558,40.15382,255.2568,-0.0266451
20.07539,20.52558,39.77842,254.4714,-0.03337505
20.04944,20.52558,39.88524,255.2568,-0.04091381
19.94109,20.52558,40.15382,254.4714,-0.04630082
19.78086,20.63393,40.52924,254.0674,-0.05303077
19.86174,20.55305,40.52924,252.878,-0.05652545
19.88768,20.55305,39.61665,253.6859,-0.0589519
20.02197,20.60646,41.5517,254.0674,-0.06029484
20.04944,20.49811,39.99207,253.6859,-0.05814308
20.15627,20.39128,39.56171,252.4965,-0.04872726
20.18374,20.36381,39.56171,252.4965,-0.0457667
20.1288,20.49811,39.72348,252.878,-0.03392443
20.02197,20.3104,39.99207,252.0925,-0.02368453
19.86174,20.36381,39.61665,252.0925,-0.01588634
19.83427,20.60646,40.47735,252.0925,-0.00647052
19.69998,20.49811,39.77842,250.9255,0.00160237
19.88768,20.47216,40.63911,251.711,0.00807289
19.91515,20.49811,39.72348,250.9255,0.01344463
20.02197,20.39128,39.8303,251.711,0.01587108
20.15627,20.36381,39.99207,250.5215,0.0164052
20.15627,20.3104,40.10194,250.5215,0.01910634
20.04944,20.28446,40.20877,250.1176,0.0131852
20.04944,20.28446,39.77842,250.1176,0.01506226
19.94109,20.3104,41.06947,249.7361,0.0131852
19.8068,20.39128,40.047,248.9506,0.00456294
19.75339,20.41875,39.34806,250.5215,0.00483763
19.86174,20.39128,40.20877,249.7361,0.00053412
19.88768,20.36381,40.047,250.1176,-0.00296057
20.02197,20.28446,39.8303,250.1176,-0.00242644
20.15627,20.22952,40.74594,249.3321,-0.00619583
20.18374,20.17611,39.99207,248.9506,0.0
20.10286,20.22952,39.02454,248.9506,-0.00080881
19.99451,20.28446,39.24124,248.9506,0.00618056
19.99451,20.25699,38.75595,247.7612,0.00671469
19.91515,20.36381,38.91771,248.9506,0.00807289
19.86174,20.33787,38.43243,248.1427,0.01103345
19.96856,20.28446,38.16384,247.7612,0.01452814
20.02197,20.33787,37.62666,248.1427,0.01371933
20.10286,20.3104,37.35807,248.1427,0.01587108
20.26309,20.17611,37.30619,248.1427,0.01587108
20.39739,20.09523,37.14442,247.7612,0.0164052
20.26309,19.93499,37.6816,247.7612,0.01371933
20.42486,20.06928,38.00513,247.3572,0.00941582
19.99451,20.28446,38.05701,246.9757,0.00564644
19.75339,20.33787,38.16384,247.3572,-0.00216701
19.91515,20.3104,37.51984,247.7612,-0.00350995
20.07539,20.36381,37.19631,246.9757,-0.00619583
20.10286,20.36381,37.19631,246.9757,-0.01239165
20.18374,20.22952,36.71408,247.7612,-0.01857221
20.31803,20.22952,37.89525,247.3572,-0.01616103
20.50574,20.17611,36.87584,245.7863,-0.02504273
20.34398,20.25699,37.95019,246.1902,-0.02557685
20.29056,20.3104,36.39055,246.5717,-0.0266451
20.18374,20.39128,37.19631,246.9757,-0.02719448
20.10286,20.41875,37.35807,246.5717,-0.02261629
20.04944,20.41875,37.08949,246.9757,-0.02127335
20.07539,20.49811,36.44549,246.1902,-0.01480283
20.1288,20.4447,36.92772,245.7863,-0.01158283
20.23715,20.39128,36.60725,245.7863,-0.0045782
20.39739,20.41875,36.55231,246.9757,0.00402881
20.47827,20.39128,35.74655,246.1902,0.00483763
20.37144,20.4447,35.90831,245.7863,0.01695458
20.37144,20.47216,35.47796,245.7863,0.01748871
20.26309,20.55305,35.63973,245.7863,0.02366927
20.20968,20.60646,36.28373,245.3823,0.03013979
20.02197,20.60646,36.39055,246.5717,0.02933097
20.10286,20.55305,36.22879,245.7863,0.03793798
20.1288,20.52558,36.49738,245.0008,0.03039922
20.23715,20.41875,35.47796,245.7863,0.03551154
20.37144,20.36381,36.44549,245.7863,0.03551154
20.42486,20.52558,35.3162,245.0008,0.02502747
20.42486,20.3104,35.9602,245.0008,0.02743865
20.39739,20.4447,36.06702,244.2153,0.02260103
20.20968,20.52558,35.52985,245.7863,0.02366927
20.23715,20.55305,36.1769,245.0008,0.02798804
20.10286,20.55305,36.92772,244.2153,0.02824747
20.20968,20.52558,36.92772,244.5968,0.0341686
20.34398,20.57899,36.65914,245.0008,0.0398303
20.34398,20.47216,37.4649,244.2153,0.04816262
20.4508,20.49811,36.98267,243.4298,0.05812782
20.64003,20.52558,36.60725,243.8114,0.0664754
20.61256,20.60646,36.55231,245.0008,0.07184715
20.64003,20.63393,37.14442,244.5968,0.08153766
20.50574,20.76822,37.30619,244.2153,0.08234648
20.37144,20.74075,36.87584,243.8114,0.08126297
20.26309,20.74075,36.76596,243.0259,0.0796606
20.37144,20.74075,35.90831,243.4298,0.06592602
20.39739,20.68734,36.8209,242.2404,0.06027957
20.47827,20.65987,37.25125,244.2153,0.04709437
20.55915,20.63393,36.76596,243.8114,0.03013979
20.74685,20.68734,37.0376,243.8114,0.02125809
20.69344,20.90252,37.19631,243.4298,0.01156757
20.64003,20.87505,36.01514,243.0259,0.00294531
20.55915,20.92846,36.44549,242.2404,0.00402881
20.4508,20.84758,34.66915,243.4298,0.0043035
20.37144,20.87505,35.74655,243.4298,0.00294531
20.37144,20.82163,35.74655,242.2404,0.00833232
20.4508,20.71328,36.44549,242.2404,0.01103345
20.47827,20.57899,36.22879,242.6219,0.01344463
20.61256,20.95593,36.60725,241.8365,0.0207087
20.66598,20.90252,37.4649,242.6219,0.01748871
20.69344,21.09022,36.65914,242.2404,0.02179221
20.69344,21.09022,37.41301,241.4549,0.01802283
20.53168,20.90252,37.35807,241.8365,0.01695458
20.58509,20.90252,38.3256,241.8365,0.01855695
20.4508,20.84758,37.35807,242.2404,0.00886644
20.39739,20.82163,36.65914,241.8365,0.00618056
20.39739,20.76822,36.49738,241.8365,0.00726407
20.50574,20.74075,36.65914,241.051,0.00349469
20.61256,20.76822,35.52985,240.2655,0.00645526
20.71939,20.79416,34.56232,241.051,0.01237639
20.74685,20.84758,35.42303,241.4549,0.01103345
20.69344,20.90252,33.21938,241.8365,0.01748871
20.66598,20.90252,34.77902,241.4549,0.02475278
20.55915,20.87505,34.51044,241.051,0.0298651
20.42486,20.87505,34.88585,242.2404,0.03255097
20.34398,20.82163,33.21938,241.4549,0.03497741
20.42486,20.71328,33.32621,242.2404,0.04279087
20.53168,20.74075,33.75656,241.051,0.03578623
20.55915,20.74075,33.54291,241.051,0.03821267
20.69344,20.79416,33.75656,242.2404,0.03740386
20.77433,20.84758,33.8115,243.4298,0.02662984
20.71939,20.92846,33.64974,241.8365,0.03497741
20.58509,20.92846,33.75656,241.051,0.02771334
20.55915,20.87505,33.48798,241.8365,0.02394396
20.42486,20.87505,33.16445,241.051,0.03039922
20.39739,20.79416,33.86339,241.8365,0.02394396
20.42486,20.87505,32.35868,241.8365,0.02609571
20.47827,20.65987,31.65975,241.4549,0.03444329
20.55915,20.74075,33.48798,241.8365,0.03067391
20.61256,20.49811,33.97326,241.4549,0.03686973
20.88115,20.90252,33.91832,241.8365,0.03902148
20.80027,20.95593,33.54291,241.8365,0.04224148
20.64003,20.98187,33.5948,241.4549,0.05058906
20.53168,20.87505,33.64974,240.647,0.05167257
20.47827,20.87505,33.64974,241.4549,0.0562355
20.37144,20.79416,33.32621,242.6219,0.05731901
20.37144,20.79416,34.02515,241.051,0.05597607
20.47827,20.79416,33.70162,241.051,0.06000488
20.53168,20.79416,33.16445,241.4549,0.05812782
20.66598,20.87505,33.5948,241.051,0.05354962
20.74685,20.98187,34.51044,241.051,0.05058906
20.71939,20.92846,33.70162,240.2655,0.048712
20.61256,20.95593,33.5948,240.647,0.04170736
