Time [s];Schweissstrom [A];Schweissspannung [V];Drahtvorschub [m/min];Gasfluss [l/min];Motorstrom [A]
5,9394;51,00;19,05;0,00;0,00;0,00
5,9697;53,00;19,05;0,00;0,00;0,00
6,0000;52,00;19,05;0,00;0,00;0,00
6,0303;52,00;19,05;0,00;0,00;0,00
6,0606;53,00;19,05;0,00;0,00;0,00
6,0909;54,00;19,05;0,00;0,00;0,00
6,1212;53,00;19,05;0,00;0,00;0,00
6,1515;52,00;19,05;0,00;0,00;0,00
6,1818;53,00;19,05;0,00;0,00;0,00
6,2121;52,00;19,05;0,00;0,00;0,00
6,2424;53,00;18,90;0,00;0,00;0,00
6,2727;53,00;19,05;0,00;0,00;0,00
6,3030;52,00;19,05;0,00;0,00;0,00
6,3333;52,00;19,05;0,00;0,00;0,00
6,3636;53,00;19,05;0,00;0,00;0,00
6,3939;51,00;19,05;0,00;0,00;0,00
6,4242;55,00;19,05;0,00;0,00;0,00
6,4545;53,00;19,05;0,00;0,00;0,00
6,4848;52,00;19,05;0,00;0,00;0,00
6,5152;53,00;19,05;0,00;0,00;0,00
6,5455;54,00;19,05;0,00;0,00;0,00
6,5758;53,00;19,05;0,00;0,00;0,00
6,6061;52,00;19,05;0,00;0,00;0,00
6,6364;52,00;19,05;0,00;0,00;0,00
6,6667;53,00;19,05;0,00;0,00;0,00
6,6970;52,00;19,20;0,00;0,00;0,00
6,7273;51,00;19,05;0,00;0,00;0,00
6,7576;52,00;19,05;0,00;0,00;0,00
6,7879;52,00;19,05;0,00;0,00;0,00
6,8182;52,00;19,05;0,00;0,00;0,00
6,8485;52,00;19,05;0,00;0,00;0,00
6,8788;53,00;19,05;0,00;0,00;0,00
6,9091;51,00;19,05;0,00;0,00;0,00
6,9394;53,00;19,05;0,00;0,00;0,00
6,9697;52,00;19,05;0,00;0,00;0,00
7,0000;51,00;19,05;0,00;0,00;0,00
7,0303;52,00;19,05;0,00;0,00;0,00
7,0606;53,00;19,05;0,00;0,00;0,00
7,0909;54,00;19,05;0,00;0,00;0,00
7,1212;53,00;19,05;0,00;0,00;0,00
7,1515;53,00;19,05;0,00;0,00;0,00
7,1818;53,00;19,05;0,00;0,00;0,00
7,2121;53,00;19,05;0,00;0,00;0,00
7,2424;54,00;19,05;0,00;0,00;0,00
7,2727;53,00;19,05;0,00;0,00;0,00
7,3030;53,00;19,05;0,00;0,00;0,00
7,3333;54,00;19,05;0,00;0,00;0,00
